	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
317	3	0.0807	0.2842	2.2042	0.3107	256	tanh	mse
318	4	0.0782	0.3190	2.1912	0.3202	256	tanh	mse
319	5	0.0769	0.3300	2.1745	0.3286	256	tanh	mse
320	6	0.0755	0.3435	2.1671	0.3655	256	tanh	mse
321	7	0.0732	0.3801	2.1525	0.3678	256	tanh	mse
322	8	0.0712	0.4001	2.1389	0.3928	256	tanh	mse
323	9	0.0691	0.4336	2.1129	0.4278	256	tanh	mse
324	10	0.0666	0.4574	2.0883	0.4408	256	tanh	mse
325	11	0.0649	0.4754	2.0927	0.4383	256	tanh	mse
326	12	0.0632	0.4931	2.0806	0.4522	256	tanh	mse
327	13	0.0616	0.5117	2.0750	0.4476	256	tanh	mse
328	14	0.0603	0.5228	2.0727	0.4573	256	tanh	mse
329	15	0.0587	0.5392	2.0703	0.4551	256	tanh	mse
330	16	0.0571	0.5542	2.0606	0.4630	256	tanh	mse
331	17	0.0558	0.5689	2.0513	0.4724	256	tanh	mse
332	18	0.0544	0.5815	2.0449	0.4746	256	tanh	mse
333	19	0.0531	0.5956	2.0464	0.4731	256	tanh	mse
334	20	0.0518	0.6052	2.0323	0.4735	256	tanh	mse
335	1	0.0900	0.1877	2.3019	0.1537	512	tanh	mse
336	2	0.0863	0.1715	2.2539	0.1907	512	tanh	mse
337	3	0.0824	0.2441	2.2125	0.2638	512	tanh	mse
338	4	0.0797	0.2890	2.1941	0.3009	512	tanh	mse
339	5	0.0780	0.3211	2.1855	0.3224	512	tanh	mse
340	6	0.0768	0.3330	2.1820	0.3191	512	tanh	mse
341	7	0.0758	0.3406	2.1720	0.3312	512	tanh	mse
342	8	0.0749	0.3501	2.1677	0.3289	512	tanh	mse
343	9	0.0740	0.3640	2.1584	0.3495	512	tanh	mse
344	10	0.0731	0.3734	2.1636	0.3364	512	tanh	mse
345	11	0.0724	0.3804	2.1545	0.3554	512	tanh	mse
346	12	0.0709	0.4070	2.1459	0.3714	512	tanh	mse
347	13	0.0694	0.4219	2.1276	0.3919	512	tanh	mse
348	14	0.0682	0.4306	2.1232	0.3959	512	tanh	mse
349	15	0.0668	0.4463	2.1143	0.4175	512	tanh	mse
350	16	0.0658	0.4593	2.1135	0.4063	512	tanh	mse
351	17	0.0648	0.4691	2.1112	0.4268	512	tanh	mse
352	18	0.0640	0.4881	2.1114	0.4171	512	tanh	mse
353	19	0.0626	0.5050	2.0879	0.4396	512	tanh	mse
354	20	0.0612	0.5159	2.0855	0.4427	512	tanh	mse
355	1	0.0900	0.1867	2.3007	0.1593	1024	tanh	mse
356	2	0.0862	0.1724	2.2568	0.1790	1024	tanh	mse
357	3	0.0829	0.2307	2.2227	0.2520	1024	tanh	mse
358	4	0.0812	0.2568	2.2179	0.2542	1024	tanh	mse
359	5	0.0805	0.2637	2.2100	0.2667	1024	tanh	mse
360	6	0.0796	0.2785	2.2019	0.2825	1024	tanh	mse
361	7	0.0792	0.2865	2.2087	0.2830	1024	tanh	mse
362	8	0.0786	0.3038	2.2007	0.3027	1024	tanh	mse
363	9	0.0780	0.3202	2.1924	0.3208	1024	tanh	mse
364	10	0.0773	0.3351	2.1799	0.3424	1024	tanh	mse
365	11	0.0771	0.3394	2.1910	0.3378	1024	tanh	mse
366	12	0.0766	0.3465	2.1841	0.3403	1024	tanh	mse
367	13	0.0764	0.3506	2.1837	0.3392	1024	tanh	mse
368	14	0.0761	0.3508	2.1741	0.3365	1024	tanh	mse
369	15	0.0759	0.3535	2.1718	0.3453	1024	tanh	mse
370	16	0.0757	0.3575	2.1736	0.3439	1024	tanh	mse
371	17	0.0758	0.3573	2.1729	0.3371	1024	tanh	mse
372	18	0.0755	0.3590	2.1762	0.3437	1024	tanh	mse
373	19	0.0752	0.3611	2.1786	0.3429	1024	tanh	mse
374	20	0.0749	0.3642	2.1710	0.3366	1024	tanh	mse
